312: 4.359646, 5.246983 avg, 0.000009 rate, 7.180690 seconds, 19968 images
313: 5.004923, 5.222777 avg, 0.000010 rate, 7.232804 seconds, 20032 images
314: 5.310461, 5.231545 avg, 0.000010 rate, 7.351562 seconds, 20096 images
315: 5.068232, 5.215214 avg, 0.000010 rate, 7.146254 seconds, 20160 images
316: 5.186658, 5.212358 avg, 0.000010 rate, 7.154556 seconds, 20224 images
317: 4.207521, 5.111875 avg, 0.000010 rate, 7.250520 seconds, 20288 images
318: 3.983969, 4.999084 avg, 0.000010 rate, 7.223016 seconds, 20352 images
319: 5.811394, 5.080315 avg, 0.000010 rate, 7.138879 seconds, 20416 images
320: 5.434385, 5.115722 avg, 0.000010 rate, 7.219134 seconds, 20480 images
321: 5.110915, 5.115242 avg, 0.000011 rate, 7.145877 seconds, 20544 images
322: 4.718000, 5.075518 avg, 0.000011 rate, 7.210051 seconds, 20608 images
323: 4.596836, 5.027649 avg, 0.000011 rate, 7.224454 seconds, 20672 images
324: 4.458292, 4.970714 avg, 0.000011 rate, 7.168801 seconds, 20736 images
325: 4.655247, 4.939167 avg, 0.000011 rate, 7.239662 seconds, 20800 images
326: 4.324709, 4.877721 avg, 0.000011 rate, 7.056195 seconds, 20864 images
327: 5.160867, 4.906036 avg, 0.000011 rate, 7.078538 seconds, 20928 images
328: 4.888250, 4.904257 avg, 0.000012 rate, 7.033805 seconds, 20992 images
329: 4.432608, 4.857092 avg, 0.000012 rate, 7.010875 seconds, 21056 images
330: 4.348833, 4.806266 avg, 0.000012 rate, 7.124179 seconds, 21120 images
