Region 106 Avg IOU: 0.115428, Class: 0.279153, Obj: 0.425873, No Obj: 0.498202, .5R: 0.111111, .75R: 0.000000,  count: 9
Region 106 Avg IOU: 0.092959, Class: 0.396191, Obj: 0.396640, No Obj: 0.496078, .5R: 0.000000, .75R: 0.000000,  count: 13
Region 94 Avg IOU: 0.273013, Class: 0.740831, Obj: 0.875977, No Obj: 0.602609, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.226515, Class: 0.314998, Obj: 0.544420, No Obj: 0.495079, .5R: 0.090909, .75R: 0.000000,  count: 11
Region 94 Avg IOU: 0.262186, Class: 0.198906, Obj: 0.744214, No Obj: 0.602514, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.083338, Class: 0.379174, Obj: 0.486820, No Obj: 0.497805, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: 0.518056, Class: 0.419531, Obj: 0.888298, No Obj: 0.488825, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.133486, Class: 0.744526, Obj: 0.968106, No Obj: 0.604879, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.225989, Class: 0.513541, Obj: 0.739358, No Obj: 0.496156, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 94 Avg IOU: 0.168126, Class: 0.439855, Obj: 0.714807, No Obj: 0.602258, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.133720, Class: 0.367157, Obj: 0.334780, No Obj: 0.498297, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 82 Avg IOU: 0.040655, Class: 0.857736, Obj: 0.232197, No Obj: 0.488419, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.141302, Class: 0.219005, Obj: 0.703598, No Obj: 0.603377, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 106 Avg IOU: 0.187771, Class: 0.185028, Obj: 0.313723, No Obj: 0.496460, .5R: 0.142857, .75R: 0.000000,  count: 7
Region 82 Avg IOU: 0.046599, Class: 0.821834, Obj: 0.926051, No Obj: 0.489324, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.017046, Class: 0.069067, Obj: 0.660395, No Obj: 0.603787, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.102849, Class: 0.286717, Obj: 0.430192, No Obj: 0.499072, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 82 Avg IOU: 0.182903, Class: 0.561312, Obj: 0.711693, No Obj: 0.489907, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.091628, Class: 0.300481, Obj: 0.199454, No Obj: 0.497523, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.154906, Class: 0.341633, Obj: 0.925927, No Obj: 0.602877, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.140698, Class: 0.246270, Obj: 0.346733, No Obj: 0.495685, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 82 Avg IOU: 0.130288, Class: 0.542342, Obj: 0.986082, No Obj: 0.490009, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.142168, Class: 0.321160, Obj: 0.968675, No Obj: 0.603199, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.006040, Class: 0.085010, Obj: 0.154124, No Obj: 0.496970, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.134920, Class: 0.461222, Obj: 0.481673, No Obj: 0.496443, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 82 Avg IOU: 0.151635, Class: 0.559266, Obj: 0.948202, No Obj: 0.489261, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.184031, Class: 0.383167, Obj: 0.652042, No Obj: 0.496401, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 82 Avg IOU: 0.526438, Class: 0.604768, Obj: 0.938425, No Obj: 0.490993, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.208093, Class: 0.179086, Obj: 0.924843, No Obj: 0.605467, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.124669, Class: 0.301441, Obj: 0.397942, No Obj: 0.494989, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 82 Avg IOU: 0.052406, Class: 0.586766, Obj: 0.817498, No Obj: 0.489639, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.167609, Class: 0.282468, Obj: 0.695748, No Obj: 0.602822, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.233749, Class: 0.258050, Obj: 0.646616, No Obj: 0.497039, .5R: 0.100000, .75R: 0.100000,  count: 10
Region 106 Avg IOU: 0.128178, Class: 0.319385, Obj: 0.576013, No Obj: 0.498405, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: 0.252780, Class: 0.198771, Obj: 0.648593, No Obj: 0.489855, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.254406, Class: 0.104848, Obj: 0.754533, No Obj: 0.602755, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.179561, Class: 0.365835, Obj: 0.367059, No Obj: 0.496103, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 94 Avg IOU: 0.269387, Class: 0.110371, Obj: 0.894922, No Obj: 0.601085, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.187013, Class: 0.316175, Obj: 0.404669, No Obj: 0.496704, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 82 Avg IOU: 0.272734, Class: 0.308450, Obj: 0.929417, No Obj: 0.487776, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.228385, Class: 0.593799, Obj: 0.729956, No Obj: 0.603029, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.151507, Class: 0.443050, Obj: 0.420609, No Obj: 0.496651, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 94 Avg IOU: 0.159839, Class: 0.456170, Obj: 0.895653, No Obj: 0.599819, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.108401, Class: 0.330992, Obj: 0.526811, No Obj: 0.498775, .5R: 0.000000, .75R: 0.000000,  count: 13
Region 82 Avg IOU: 0.129006, Class: 0.940694, Obj: 0.756489, No Obj: 0.489042, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.136503, Class: 0.455937, Obj: 0.853094, No Obj: 0.602728, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.151569, Class: 0.397702, Obj: 0.634663, No Obj: 0.497813, .5R: 0.000000, .75R: 0.000000,  count: 11
Region 82 Avg IOU: 0.030560, Class: 0.331917, Obj: 0.434657, No Obj: 0.491190, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.483374, Class: 0.393419, Obj: 0.613417, No Obj: 0.601516, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.088784, Class: 0.514075, Obj: 0.582484, No Obj: 0.496843, .5R: 0.000000, .75R: 0.000000,  count: 9
Region 94 Avg IOU: 0.099803, Class: 0.450593, Obj: 0.751894, No Obj: 0.605942, .5R: 0.000000, .75R: 0.000000,  count: 3
